Plant Name,Soil Moisture,Sunlight Intensity,Temperature,Humidity
Geranium,19.57,50183.89,24.17,65.56
Chrysanthemum,46.93,50832.62,37.19,56.85
Rohira,66.71,42690.4,23.68,28.94
Calla Lily,56.47,30741.13,23.59,76.63
Saraca Asoca,24.64,71951.21,34.28,84.99
Ylang Ylang,16.15,22056.29,36.76,64.46
Bluebell,27.96,53624.4,16.01,59.79
Amaryllis,73.93,70895.85,39.08,60.5
Camellia,47.12,16457,36.18,61.75
Indian Hawthorn,65.48,16515.89,39.02,56.12
Plumeria,66.73,60336.12,13.58,42.02
Brahma Kamal,28.91,79510.9,26.62,58.59
Jasmine,33.52,42630.26,30.9,42.84
Madhumalti,51.46,35082.98,38.23,71.42
Madhumalti,45.89,20062.93,36.13,85.54
Champa,51.36,37015.47,30.69,62.99
Parijat,11.95,54195.25,10.9,27.52
Dombeya,61.02,23119.79,19.5,30.28
Saraca Asoca,12.19,23855.73,28.96,44.15
Sundew,62.42,36158.05,27.22,50.57
Orange Trumpet Vine,77.16,29536.26,29.16,62.3
Indian Cork Tree,44.63,45674.39,30.71,36.47
Champa,31.37,33246.66,30.31,70.32
Rohira,16.51,64262.78,35.66,46.23
Golden Shower,38.24,33541.71,21.64,36.2
Foxglove,46.91,26049.09,24.99,50.31
Coreopsis,25.41,69924.97,19.94,32.46
Hydrangea,62.56,77605.58,10.48,55.48
Shankhpushpi,60.21,11490.49,35.87,46.23
Pride of India,63.12,75889.79,20.69,70.64
Mussaenda,75.65,60921.2,27.4,51.34
Freesia,69.37,74307.42,24.26,88.07
Sundew,45.77,33763.65,20.4,46.08
Tulip,62.82,33782.61,33.71,55.31
Bougainvillea,63.21,73141.85,29.27,81.66
Red Silk Cotton Tree,79.24,74716.04,33.89,24.67
Dahlia,33.27,45471.15,31.85,55.81
Saraca Asoca,35.76,41648.46,22.87,53.26
Champa,79.2,18682.37,31.72,39.4
Hollyhock,16.61,22792.77,35.33,73.33
Hollyhock,18.55,19185.92,25.21,37.84
Clematis,66.76,43253.61,27.56,22.64
Celosia,53.83,67269.66,24.01,34.71
Kaner,35.07,49059.46,15.25,75.56
Sundew,15.69,67273.78,39.11,43.18
Bougainvillea,69.35,69645.91,33.84,45.37
Ixora,64.16,15229.59,38.36,30.19
Pride of India,46.06,14678.28,20.31,27.49
Morning Glory,69.61,65833.05,36.55,36.69
Canna Lily,32.7,48588.83,30.84,85.62
Harsingar,20.36,71312.83,31.91,69.25
Palaash,62.43,20857.45,25.78,21.73
Datura,34.27,70604.19,23.37,69.13
Periwinkle,20.19,10099.95,24.74,24.79
Globe Amaranth,64.63,56552.21,36.27,68.79
Coreopsis,51.86,65875.94,35.63,33.87
Cosmos,78.44,71489.37,12.04,70.88
Clematis,55.97,77560.15,22.05,82.24
Showy Medinilla,61.03,23722.5,30.11,66.01
Datura,28.33,26091.19,33.32,76.11
Kaner,39.43,25463.19,33.81,57.03
Hibiscus,56.01,20727.49,16.62,49.18
Carnation,76.47,33250.56,31.89,86.41
Daffodil,20.69,33717.81,23.54,31.62
Orange Trumpet Vine,60.71,42192.7,36.69,89.09
Sacred Lotus,47.78,68767.53,32.15,81.44
Camellia,28.91,22093.18,33.56,81.08
Kadamba,64.22,54780.33,26.18,44.79
Indian Cork Tree,56.92,54545.74,19.78,87.1
Indian Medlar,58.74,13235.29,25.41,68.65
Evening Primrose,73.72,72113.66,33.42,82.04
Canna Lily,76.22,32003.71,36.21,24.55
Akash Neem,76.26,31384.26,27.46,46.13
Dombeya,70.5,53867.98,19.87,76.68
Kaner,72.22,27027.65,34.67,57.37
Balsam,36.67,25365.11,21.14,82.13
Peony,27.96,12122.55,22.14,61.25
Rohira,44.75,40912.77,23.22,61.83
Lily,22.58,36700.75,18.29,81.69
Flame Lily,24.21,64828.33,22.24,30.14
Lavender,47.19,74996.4,34.4,78.35
Queen's Crape Myrtle,72.83,59200.09,21.23,59.85
Bluebell,71.61,77756.15,19.07,48.91
Periwinkle,77.89,74190.48,18.19,39.9
Saraca Asoca,33.96,40305.96,30.11,87.07
Verbena,62.77,37855.65,20.58,40.19
Saraca Asoca,46.73,74314.17,22.69,25.23
Indian Coral Tree,76.23,16896.29,31.8,82.54
Daffodil,78.43,20865.12,34.12,39.18
Champa,50.52,48480.98,16.04,30.45
Adenium,59.57,49351.13,32.31,69.93
Indian Hawthorn,45.53,44879.38,20.82,33.02
Plumeria,77.4,17010.51,38.51,23.8
Orchid,68.93,28237.97,22.89,34.82
Buttercup,73.73,23745.39,33,68.22
Verbena,75.82,42988.21,21.54,41.01
Indian Cork Tree,51.22,25613.63,29.34,46.96
Morning Glory,70.82,17323.24,17.21,67.02
Verbena,27.01,36431.61,21.42,72.93
Sweet Alyssum,12.33,57378.94,36.01,25.21
Bougainvillea,21.41,11006.68,33.39,25.27
Plumeria,48.25,47984.64,31.43,25.1
Camellia,76.52,13088.89,28.66,33.65
Lily,74.66,26683.03,31.35,42.61
Sunflower,24.77,32268.14,30.19,85.23
Blue Lotus,76.73,34062.43,30.35,56.61
Nigella,67.29,25044.39,22.07,22.98
Crape Jasmine,47.64,44251.02,36.29,66.36
Kaempferia,66.38,23169.64,32.1,89.14
Carnation,25.3,36739.43,16.45,71.24
Coreopsis,60.31,44093.22,37.94,21.96
Screw Pine,65.72,14318.46,13.98,88.08
Indian Pennywort,74.98,67095.98,22.26,76.07
Madhumalti,37.62,59692.54,15.51,74.46
Golden Shower,23.38,66508.18,19.93,67.79
Gomphrena,63.32,19369.84,22.4,35.09
Ylang Ylang,14.5,17884.53,22.41,85.82
Camellia,53.84,58710.94,24.9,73.63
Indian Laburnum,25.75,32650.05,21.4,77.06
Tulip,33.47,70953.87,31.65,58.74
Hibiscus,53.56,37073.11,17.38,50.7
Indian Pennywort,36.46,70140.81,35.15,42.29
Flame Lily,39.08,42546.28,38.32,72.92
Dombeya,47.36,27832.56,12.49,70.45
Madhumalti,48,47867.02,14.07,87.31
Showy Medinilla,53.01,62234.84,12.45,40.25
Indian Pennywort,73.39,23630.03,19.16,40.25
Madhumalti,12.85,15891.19,21.96,21.52
Chrysanthemum,51.43,46891.27,38.57,72.14
Carnation,16.85,31116.46,37.59,63.38
Cockscomb,62.28,37152.8,26.05,35.04
Evening Primrose,29.5,55312.35,14.9,79.03
Madhumalti,63.95,17476.38,19.61,30.9
Screw Pine,13.96,17537.08,13.12,89.6
Crape Myrtle,42.25,44423.11,13.11,71.25
Plumeria,50.9,22562.14,10.85,34.12
Canna Lily,70.08,75950.59,10.8,44.12
Butea Monosperma,71.51,14401.53,22.85,60.38
Showy Medinilla,36.99,46004.99,16.63,75.14
Nigella,77.79,32614.84,37.92,66.19
Buttercup,13.83,49727.94,20.51,65.26
Marigold,45.44,15548.01,34.45,28.05
Indian Medlar,55.15,38330.61,22.22,77.75
Globe Amaranth,23.33,72454.65,27.78,81.76
Indian Pennywort,47.19,77792.93,19.63,75.75
Peony,63.36,22589.57,10.69,20.03
Cosmos,22.77,50179.79,13.17,45.1
Hibiscus,44.46,53348.73,27.28,47.42
Balsam,75.96,12733.02,11.52,58.46
Frangipani,10.68,74349.73,13.62,29.53
Bougainvillea,58.52,18390.85,32.75,79.58
Coreopsis,65.79,43119.27,37.93,72.48
Chrysanthemum,57.91,43339.79,30.83,44.94
Balsam,74.89,35968.7,30.55,62.54
Snapdragon,57.45,24860.95,37.86,80.68
Hydrangea,39.34,32772.33,14.53,42.66
Lotus,36.92,19570.83,19.12,64.33
Saraca Asoca,33.57,45142.32,29.36,34.07
Kaner,74.52,47004.77,35.36,81.03
Saraca Asoca,48.84,15496.14,14.21,84.92
Daffodil,38.32,53768.28,24.46,29.78
Marigold,13.62,19355.17,16.18,37.49
Nag Champa,39.85,45799.13,31.59,85
Periwinkle,72.95,44067.3,38.13,23.53
Freesia,41.24,17134.35,28.81,85.83
Coreopsis,66.81,31518.65,26.31,73.97
Golden Shower,15.81,33820.04,28.13,74.82
Queen's Crape Myrtle,18.4,67357.95,29.89,52.47
Orchid,67.69,20446.52,33.14,61.09
Queen's Crape Myrtle,20.08,67766.41,19.12,50.52
Nag Champa,58.66,40952.75,25.78,40.26
Geranium,57.85,79027.57,29.86,67.24
Carnation,34.63,71973.92,12.39,83.43
Pansy,71.5,69122.27,32.37,75.58
Orange Trumpet Vine,40.16,25880.88,26.52,85.5
Jasmine,59.29,62223.84,11.68,60.93
Snapdragon,61.48,74320.1,38.15,74.66
Red Silk Cotton Tree,49.7,46794.93,12.94,60.49
Daffodil,53.1,16975.82,16.26,51.11
Saraca Asoca,19.61,70912.12,31.52,60.06
Jasmine,37.6,13941.85,25.65,77.81
Saraca Asoca,20.35,44394.17,10.8,21.35
Amaryllis,61.99,18925.51,37.28,77.1
Ixora,30.66,32315.53,18.19,28.3
Sundew,59.5,55273.04,26.05,44.9
Zinnia,43.08,46828.98,10.04,34.88
Jasmine,69.91,53349.39,10.52,40.29
Queen's Crape Myrtle,72.85,65085.51,31.56,81.7
Golden Shower,26.57,77516.61,23.24,79.25
Tulip,30.33,59582.39,21.36,72.47
Gomphrena,21.22,24114.95,15.78,89.33
Madhumalti,23.19,55583.02,39.83,88.95
Madhumalti,11.7,20832.11,24.24,86.15
Foxglove,28.86,11505.53,27.27,70.79
Harsingar,50.07,66421.77,20.79,37.07
Verbena,41.46,19680.53,25.16,24.05
Gladiolus,46.13,62011.53,39.68,82.37
Indian Medlar,53.9,31734.49,18.58,62.04
Rain Lily,54.59,14366.56,29.57,84.31
Kaempferia,13.84,15183.53,18.27,65.9
Bakul,35.73,76141.79,19.02,29.33
Daisy,73.67,53229.17,23.8,48.61
Canna Lily,59.35,21844.42,37.41,45.18
Hydrangea,76.14,73134.18,31.27,65.49
Hollyhock,19.76,10862.1,25.53,24.21
Bakul,18.96,46619.08,37.5,34.2
Akash Neem,26.06,33749,22.98,89.98
Sweet Alyssum,16.89,17369,27.8,33.29
Showy Medinilla,65.24,61895.15,25.68,46.36
Frangipani,77.86,63689.21,38.93,73.54
Akash Neem,67.57,22157.06,11.46,31.75
Evening Primrose,75.48,78365.25,33.17,54.06
Blue Lotus,56.72,14034.46,24.15,50.7
Sita Ashok,58.4,56418.28,29.4,76.36
Primrose,35.96,18617.91,35.15,29.64
Indian Laburnum,28.38,68406.4,24.79,67.42
Calla Lily,63.24,18938.57,18.43,88.16
Sweet Alyssum,31.59,74465.73,18.89,47.24
Indian Laburnum,38.49,33909.61,39.36,74.93
Datura,66.63,66899.57,37.05,33.76
Pride of India,74.46,63280.64,38.98,89.82
Calla Lily,71.97,29625.53,10.42,44.04
Cosmos,35.77,18613.68,36.32,89.25
Golden Shower,39.03,13835.32,15.68,40.31
Jasmine,62.18,29417.12,32.21,36.84
Bluebell,41.97,34512.19,35.88,68.07
Geranium,69.85,63573.74,35.64,29.71
Dombeya,71.92,19702.79,37.91,42.62
Sweet Alyssum,16.16,52262.95,29.38,62.55
Geranium,28.26,34177.91,15.13,89.04
Coreopsis,10.85,27959.81,16.31,26.17
Tulip,32.56,58519.05,26.41,81.46
Foxglove,12.85,33372.65,36.73,53.83
Sita Ashok,35.62,44671.69,26.55,80.21
Vetiver,20.2,16192.4,26.25,21.22
Sacred Lotus,76.87,26631.89,37.3,61.17
Carnation,37.14,61986.77,22.03,87.25
Crape Myrtle,48.6,66634.91,31.28,26.92
Balsam,35.44,52911.01,24.98,79.71
Showy Medinilla,17.73,12953.08,37.64,41.21
Mussaenda,45.88,63010.75,12.21,46.57
Poppy,50.97,54163.55,15.2,30.62
Orange Trumpet Vine,12.69,27092.96,36.05,39.41
Mussaenda,39.31,59864.45,33.88,71.61
Sundew,23.91,75008.67,31.29,22.22
Balsam,77.91,67687.25,13.52,68.19
Freesia,69.29,58117.39,37.25,67.16
Blue Lotus,21.66,14851.17,23.35,34.8
Bluebell,75.72,60530.58,21.39,70.6
Dombeya,54.38,61913.08,37.86,66.86
Indian Cork Tree,27.08,42002.05,18.63,88.3
Snapdragon,55.2,25840.88,29.97,82.41
Cockscomb,14.24,57514.82,30.73,31.16
Ylang Ylang,11.82,52021.64,15.55,66.84
Carnation,29.86,50955.14,13.32,29.81
Peony,33.73,76895.63,35.56,40.63
Sundew,54.71,40177.84,11.54,89.29
Palaash,77.12,74109.86,22.29,34.87
Canna Lily,74.94,59905.68,31.2,48.98
Crape Jasmine,40.42,77093.8,19.27,42.54
Amaryllis,49.9,68953.45,34.79,86.74
Daffodil,43.12,49750.47,13.38,52.94
Akash Neem,76.16,27633.83,10.23,43.61
Madhumalti,49.16,10334.29,28.39,73.65
Harsingar,57.91,23649.82,39.61,70.81
Rose,61.57,33643.03,19.11,74.18
Parijat,49.46,35234.49,31.25,88.62
Camellia,34.79,21119.56,12.29,38.52
Sweet Alyssum,65,48610.14,24.35,53.93
Sita Ashok,75.6,59733.88,26.11,84
Queen's Crape Myrtle,25.84,52708.03,10.14,87.7
Gladiolus,51.02,73000.54,32.83,42.31
Champa,31.63,26719.34,29.5,62.62
Indian Pennywort,28.45,44171.1,11.46,84.56
Crape Jasmine,12.86,29617.16,24.63,30.83
Madhumalti,39.23,57550.92,13.56,50.44
Lavender,47.53,25051.04,13.72,50.59
Dahlia,71.59,21703.48,14.84,70.44
Foxglove,79.51,50809.91,15.51,84.93
Screw Pine,70.11,36838.79,35.9,88.5
Queen's Crape Myrtle,53.77,65528.46,19.24,32.14
Golden Shower,13.21,77479.96,36.78,59.95
Zinnia,50.81,22503.83,19.3,47.61
Butea Monosperma,34.6,13724.63,38.85,74.81
Ylang Ylang,30.09,23443.85,10.42,28.4
Indian Coral Tree,31.3,38085.54,10.29,42.29
Vetiver,25.55,54003.43,12.76,41.21
Jasmine,50.07,40635.66,15.97,87.83
Sacred Lotus,52.51,49135.28,24.02,30.26
Morning Glory,73.73,24965.6,26.38,70.11
Frangipani,18.62,38005.54,18.33,20.22
Rose,49.04,14720.49,18.92,80.38
Screw Pine,37.86,78926.72,30.55,70.9
Tuberose,27.72,70145.34,32.54,71.95
Indian Laburnum,17.46,71226.36,14.65,20.24
Calla Lily,46.27,60368.4,29.9,41.94
Frangipani,73.42,14649,25.25,20.67
Freesia,30.22,26329.15,25.09,73.06
Blue Lotus,53.64,50457.23,25.53,86.23
Kaner,59.81,30140.79,32.39,63.25
Indian Coral Tree,63.18,31518.53,21.72,79.5
Indian Hawthorn,52.41,61536.3,23.09,71.27
Mussaenda,20.36,64235.68,25.7,72.39
Adenium,22.08,42836.36,38.64,44.64
Sundew,64.95,14385.27,35.18,65.02
Pansy,17.24,40118.42,10.08,48.19
Golden Shower,26.67,69470.98,11.74,24.13
Nag Champa,63.57,51749.24,20.59,21.79
Vetiver,40.03,34089.57,19.91,87.47
Clematis,25.53,41536.22,11.75,43.54
Adenium,48.78,69489.33,39.01,53.36
Ixora,49.06,72312.72,33.86,21.75
Lotus,30.47,79024.46,27.9,81.23
Sundew,75.18,53599.75,37.83,49.46
Bakul,39.04,40901.05,19.4,39.91
Gladiolus,48.49,14394.51,25.8,23.35
Kaner,37.39,35328.53,19.24,26.1
Mussaenda,38.86,33881.53,32.69,67.56
Tuberose,61.37,15179.06,22.58,86.28
Butea Monosperma,23,55582.41,13.72,30.7
Plumeria,67.34,70179.6,27.24,41.44
Butea Monosperma,39.86,11762.76,35.71,44.23
Zinnia,14.93,67429.45,16.29,36.79
Hollyhock,48.22,13239.01,14.3,55.78
Tuberose,55.35,44019.88,10.35,67.61
Pride of India,79.53,29230.24,26.9,20.44
Indian Cork Tree,26.74,51465.18,37.08,21.76
Saraca Asoca,38.13,11742.87,16.66,56.27
Daisy,42.67,78931.39,38.53,70.69
Datura,48.61,26687.43,12.72,53.85
Mussaenda,71.38,18343.31,18.25,46.89
Showy Medinilla,13.33,46686.33,17.67,30.18
Plumeria,34.65,21178.74,18.14,59.64
Pansy,76.03,72379.73,10.65,47.68
Carnation,13.64,55368.35,26.29,48.31
Shankhpushpi,76.94,60371.87,34.81,33.6
Poppy,34.43,46212.71,20.01,64.08
Rohira,23.32,52182.31,26.64,67.12
Daisy,10.46,74311.72,18.39,45.68
Bluebell,68.8,29366.37,25.85,86.25
Balsam,76.27,41845.43,15.16,86.49
Frangipani,18.25,51895.94,15.94,65.07
Tuberose,60.18,49536.08,25.41,61.33
Lily,76.23,33174.89,27.46,41.74
Sundew,65.52,32759.56,28.47,55.08
Rose,43.15,50412.79,31.23,55.93
Gomphrena,68.52,45156.2,34.41,29.88
Flame Lily,67.41,76765.02,25.16,88.12
Tuberose,15.18,65802.74,23.83,63.97
Snapdragon,66.36,36288.62,34.44,75.29
Golden Shower,61.84,27244.47,19.65,79.19
Indian Laburnum,27.91,60154.74,14.41,22.82
Tulip,17.63,52235.19,34.33,38.51
Marigold,41.29,48586.73,15.92,73.04
Red Silk Cotton Tree,49.78,78597.94,37.44,42.14
Canna Lily,11.1,76795.52,20.99,39.49
Akash Neem,42.76,37986.63,38.25,65.23
Lavender,69.03,38427.55,28.89,39.76
Primrose,57.39,52763.97,17.42,57.21
Coreopsis,11.42,31591.03,22.19,50.69
Vetiver,29.27,16422.23,28.79,30.16
Champa,77.44,11846.57,15.85,62.83
Red Silk Cotton Tree,58.44,28564.49,21.31,59.45
Champa,23.1,56432.5,34.19,49.17
Primrose,39.6,14298.08,19.39,45.93
Lily,49.28,29182.48,36.43,76.1
Lavender,10.81,51233.55,34.61,24.38
Butea Monosperma,33.98,64093.7,27.97,61.07
Daffodil,26.83,57631.62,21.82,86.6
Nag Champa,77.88,39142.24,10.58,35.41
Morning Glory,69.71,65139.27,27.2,47.12
Canna Lily,49.44,50382.29,20.91,78.19
Adenium,53.29,60839.74,12.52,24.71
Adenium,15.67,49791.43,36.4,78.72
Bluebell,76.23,49529.09,29.03,31.36
Ylang Ylang,19.54,28424.32,30.47,30.02
Poppy,54.89,78826,27.23,75.86
Hibiscus,77.42,25728.08,35.45,59.58
Nigella,15.39,41214.84,29.65,35.91
Tuberose,59.78,66594.95,36.83,32.2
Verbena,45.33,72379.92,36.44,61.49
Zinnia,40.34,64902.99,16.08,34.75
Indian Coral Tree,47.78,17656.62,35.66,69.97
Clematis,44.21,37792.38,28.46,34.34
Rose,55.18,19035.99,24.14,25.9
Sunflower,19.63,72753.53,28.07,41.61
Vetiver,54.02,77711.58,30.33,41.87
Calla Lily,12.31,43259.74,13.64,27.42
Marigold,69.32,56401.43,34.52,68.02
Chrysanthemum,69.84,57982.59,35.3,65.17
Showy Medinilla,18.73,50810.35,10.55,72.29
Indian Laburnum,29.81,28851.62,25.91,42.79
Gladiolus,76.19,63741.92,23.51,40.59
Marigold,47.97,37417.48,27.29,36.42
Harsingar,30.69,57630.7,32.84,72.19
Butterfly Pea,35.05,61367.14,27.66,27.82
Indian Coral Tree,12.2,70810.81,39.25,40.34
Clematis,47.2,30969.65,34.88,86.21
Datura,15.84,49372.24,24.3,61.08
Kadamba,12.25,55727.72,20.95,58.72
Indian Medlar,71.64,17943.71,28.12,30.63
Frangipani,39.63,69078.65,24.72,30.71
